result_code,game_name,table_code,result_time,outcome_description
RES00001,Game_8,TBL016,2024-10-11 22:00:37,Impact kid more sort deal among know.
RES00002,Game_7,TBL020,2024-07-23 20:29:07,Future range these finally perhaps couple tax turn radio region together there.
RES00003,Game_4,TBL007,2024-11-30 12:35:11,Agreement shoulder professional response behavior would.
RES00004,Game_3,,2024-12-13 14:54:46,Provide building home wait half relate cultural environment lawyer every remember suddenly fight.
RES00005,Game_2,TBL017,2025-02-08 14:59:24,Break become point night beyond you guess once media stuff.
RES00006,Game_4,TBL011,2025-03-20 12:34:53,Business turn wonder well commercial near fall situation section finally situation where.
RES00007,Game_2,TBL020,2024-11-16 02:59:13,Must war six argue center heavy case treat fire know.
RES00008,Game_6,TBL020,2025-05-22 09:53:19,Themselves culture government long night medical PM protect.
RES00009,Game_4,TBL001,2024-11-21 20:38:02,Development view responsibility large lawyer teach general truth.
RES00010,Game_8,TBL016,2024-08-29 21:32:24,Travel note about science low history my.
RES00011,Game_8,TBL001,2024-12-07 07:25:29,Water much different your hit support whether management move spring why exist way.
RES00012,Game_3,TBL019,2024-09-07 10:04:12,Sign sell activity black upon rock.
RES00013,Game_6,TBL019,2025-06-10 03:21:14,Church sell painting police guess market million before meet act them.
RES00014,Game_8,TBL014,2024-12-15 02:36:15,Record use grow fly force soldier push buy.
RES00015,Game_5,TBL018,2024-12-15 19:30:34,Oil against forget finish current human move rather a according lay education write.
RES00016,Game_5,TBL015,2025-05-15 22:56:59,Send weight soldier look door go marriage their lot condition leader call.
RES00017,Game_5,TBL016,2025-02-09 09:01:19,Clear article third scientist move box believe range people citizen through continue.
RES00018,Game_1,TBL007,2025-03-17 08:30:05,Low beyond hour free memory why.
RES00019,Game_5,TBL008,2025-03-26 04:28:33,Peace imagine college yet happy fine police recent film little fast yeah begin.
RES00020,Game_4,TBL003,2024-10-01 09:53:24,Pass run president position generation nation door partner society police back region decade.
RES00021,Game_8,TBL008,2025-02-18 03:14:22,By strong despite necessary hit cut even car.
RES00022,Game_8,TBL019,2024-12-29 11:37:18,Soldier travel hour continue parent plan call almost concern news.
RES00023,Game_6,TBL016,2024-06-21 18:59:30,Have bag significant question offer class respond spend.
RES00024,Game_3,TBL015,2024-08-12 22:57:05,Agree parent effort tonight first break view.
RES00025,Game_8,TBL001,2024-06-26 22:16:49,Ask cell increase believe edge our person physical single bring each size.
RES00026,Game_4,TBL014,2025-03-28 02:04:31,Dog indicate PM name result about list new visit their best day.
RES00027,Game_1,TBL016,2024-07-24 12:00:13,Fall board condition push response sell attention project view evening she point establish.
RES00028,Game_7,TBL017,2025-04-27 23:33:33,Foot dog technology voice choose morning inside expect.
RES00029,Game_4,TBL013,2024-11-18 19:57:58,Director society debate top tell state approach everyone media Republican.
RES00030,Game_2,TBL020,2025-05-03 14:52:12,It international be husband south anyone away skin part executive around.
RES00031,Game_1,TBL006,2025-02-20 06:43:37,Worry sell across job prepare music raise decide price also.
RES00032,Game_5,TBL010,2024-09-16 20:01:32,Low bill school anyone increase example believe what teacher agency.
RES00033,Game_6,TBL018,2024-09-19 15:02:37,Central pass argue something authority them analysis night ability.
RES00034,Game_7,TBL016,2025-03-25 21:55:04,Read activity exist occur with any professor assume operation wear smile drop plant these.
RES00035,Game_3,TBL011,2024-09-18 00:26:03,Red drop describe also reality trial age.
RES00036,Game_4,TBL002,2024-08-01 20:43:58,Thank interesting school which success born give plan political.
RES00037,Game_7,TBL016,2025-03-27 19:21:02,Treatment they go dinner much teach test sister.
RES00038,Game_4,TBL011,2024-08-09 03:05:25,What western rate certainly thing apply.
RES00039,Game_7,TBL004,2025-05-15 03:37:39,Nothing quite far rather lead street expert artist science several coach.
RES00040,Game_8,TBL002,2025-06-05 00:55:06,Choice walk recently small serve represent effort goal public attention agent.
RES00041,Game_3,TBL009,2024-11-21 07:11:25,Decision road officer significant may serve.
RES00042,Game_2,TBL014,2024-11-06 07:54:19,All new shake development court rich rule trade.
RES00043,Game_2,TBL006,2024-12-26 05:39:38,Southern respond nor able land red.
RES00044,Game_1,TBL018,2025-06-15 03:48:52,Stand order between its fine apply.
RES00045,Game_5,TBL002,2025-04-07 00:41:39,Act represent no TV reason manage garden course when news.
RES00046,Game_8,TBL001,2024-10-18 22:12:34,Thus meet impact house science must politics.
RES00047,Game_3,TBL003,2024-11-01 11:44:58,Pull return light improve debate dream blue ok walk where city free former.
RES00048,Game_6,TBL005,2024-11-07 04:01:57,Amount seven forget better around best south no.
RES00049,Game_1,TBL012,2025-04-08 01:34:45,Do now care thank put best reveal south.
RES00050,Game_8,TBL008,2024-11-24 17:49:09,Road agency knowledge these worker discussion conference action suddenly.
RES00051,Game_7,TBL006,2025-02-23 09:19:40,Drop mean meet share knowledge hospital.
RES00052,Game_8,TBL018,2025-05-03 18:26:13,So second political front staff so apply until concern on occur class.
RES00053,Game_4,TBL010,2024-10-08 22:29:35,Address hand attorney despite teach own office ever those local enough share father.
RES00054,Game_8,TBL009,2025-02-11 12:32:52,Water easy fall gas pay third energy season few moment walk thousand.
RES00055,Game_4,TBL005,2025-02-01 11:57:05,Fact benefit idea significant about ever couple Congress concern film start person.
RES00056,Game_4,TBL012,2024-11-29 01:42:37,Travel approach doctor section science story left.
RES00057,Game_6,TBL018,2025-01-03 18:15:06,Beat cover try material its write ready among official since seat suffer serious.
RES00058,Game_5,,2024-10-24 03:10:18,Discussion mention subject this although military.
RES00059,Game_7,TBL017,2024-07-25 09:08:05,Citizen address quality upon green describe under situation feeling debate phone.
RES00060,Game_1,TBL013,2024-09-23 09:15:15,Response other these nice participant high nice article.
RES00061,Game_3,TBL009,2025-04-12 06:28:48,Culture authority include difference economy maintain new sometimes alone among law impact whose.
RES00062,Game_8,TBL011,2024-09-30 05:51:42,Party quickly wonder decide too run study entire already civil anyone always.
RES00063,Game_5,TBL015,2025-02-02 02:33:45,Beat other administration will news character force.
RES00064,Game_6,TBL007,2024-09-03 14:18:37,Doctor test anything keep account television else finish upon.
RES00065,Game_3,TBL018,2024-10-27 04:29:37,Similar land citizen game man region born.
RES00066,Game_5,TBL019,2025-04-24 21:18:20,Gas require pick suffer physical thousand store history fall series evidence.
RES00067,Game_8,TBL013,2025-02-01 07:01:13,Myself already we Republican remain family impact history cold sport simply family.
RES00068,Game_4,TBL007,2025-03-30 09:08:40,Growth health region hotel cover art unit by story worry.
RES00069,Game_3,TBL001,2025-02-16 12:14:09,Data save foreign term gas something friend sound agent present hot.
RES00070,Game_1,TBL002,2024-11-24 12:23:28,Increase partner debate necessary choice door face could.
RES00071,Game_6,TBL005,2024-09-30 01:30:08,Onto short stuff this wait woman dinner a policy family from whole audience.
RES00072,Game_2,TBL004,2025-03-04 15:48:46,Likely than training very public face.
RES00073,Game_5,TBL015,2024-08-08 06:30:47,Bring on politics last black who street seat leg thousand star early.
RES00074,Game_4,TBL008,2025-05-31 13:21:53,Million improve hope throughout throughout where away catch.
RES00075,Game_7,TBL004,2024-11-24 22:41:25,Inside bring field citizen with purpose everybody thousand late yeah.
RES00076,Game_7,TBL002,2025-02-01 00:54:24,Score not responsibility so already treatment occur by.
RES00077,Game_3,TBL019,2025-01-26 13:11:45,Positive price or to onto international lay scene.
RES00078,Game_8,TBL015,2025-03-06 14:15:05,Big radio our show special arm.
RES00079,Game_5,TBL004,2025-05-05 03:33:24,Control cold positive magazine east information fight how.
RES00080,Game_3,TBL008,2025-02-22 18:19:32,Fund economic return something second last trip international focus rather.
RES00081,Game_7,TBL006,2024-09-14 16:41:26,Real family technology someone skill then century nearly might including blood.
RES00082,Game_8,,2025-06-08 03:33:48,Condition subject imagine employee act what big significant decision hair.
RES00083,Game_2,TBL014,2024-10-29 10:12:30,Since industry whose that herself step sit speech strong rate reflect pay total more.
RES00084,Game_6,TBL015,2024-11-30 14:11:00,Meet current either yourself more vote game market behind recent according.
RES00085,Game_7,TBL010,2024-06-22 18:01:19,Different individual until you heart carry strategy teacher forget network clear history.
RES00086,Game_8,TBL006,2024-08-30 05:10:25,Daughter game Democrat perhaps my such difficult success.
RES00087,Game_7,TBL004,2025-01-03 14:56:31,American figure positive research more effort fund they minute town.
RES00088,Game_4,TBL010,2024-06-30 01:31:10,Make from would onto challenge later remain.
