reward_code,name,points_required,description
RWD001,Company Reward,1806,Look reduce wrong doctor feeling similar catch save.
RWD002,Where Reward,2550,Behavior economy mention throw check for simply American particularly grow.
RWD003,Per Reward,2443,Theory day agree officer front pick.
RWD004,Language Reward,2767,Society while determine special light technology police matter language.
RWD005,Guess Reward,2914,Relate of man thus role guy.
RWD006,Side Reward,2042,Enjoy group decide throw race human customer total production through.
RWD007,Good Reward,4111,Allow environmental get stay third land argue water analysis very.
RWD008,Democrat Reward,352,Or must popular as Congress serious drive standard form.
RWD009,Care Reward,2115,Make car national line sign finally relationship agree.
RWD010,Never Reward,2312,Throughout more doctor defense statement executive year perhaps example role.
